,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,경도,위도,좌표_x,대학교,면적(m^2),반경,시도,시군구,읍면동,하위,좌표_y,코드종류,읍면동코드,주소코드,1km 이내 거리(m)
1151763,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500105920014,129.00336751341,35.2075227119627,"(129.00336751341, 35.2075227119627)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,544.1698617477715
1151814,D,소매,D16,화장품소매,D16A01,화장품판매점,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500105890007,129.002987595587,35.2078864158254,"(129.002987595587, 35.2078864158254)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,575.3269491675319
1151832,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632051000101410001,129.006980259398,35.2092594442173,"(129.006980259398, 35.2092594442173)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,700.2763121577188
1151845,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500112530007,129.008522907567,35.1954553274503,"(129.008522907567, 35.1954553274503)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,105.63582833876052
1151937,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500105990008,129.003870111138,35.2090959788851,"(129.003870111138, 35.2090959788851)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,649.0876192158446
1151942,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104020017,129.008249392443,35.209753660615,"(129.008249392443, 35.209753660615)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,779.4160230602029
1151981,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500101450002,129.004357189415,35.2094074260006,"(129.004357189415, 35.2094074260006)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,669.4894358237229
1152141,D,소매,D05,의복의류,D05A01,일반의류,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104000003,129.00613369501,35.2100777328117,"(129.00613369501, 35.2100777328117)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,734.5425443493596
1152171,D,소매,D03,종합소매점,D03A01,편의점,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500101460010,129.004687417986,35.2094677835487,"(129.004687417986, 35.2094677835487)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,674.4025269710808
1152279,F,생활서비스,F14,자동차/이륜차,F14A07,주차장운영,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500107410002,129.002864647883,35.2023528948317,"(129.002864647883, 35.2023528948317)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,200.52711069693396
