대학교,강원관광대학교,경주대학교,고구려대학교,광양보건대학교,금강대학교,대구예술대학교,대덕대학교,두원공대학교,부산과학기술대학교,서라벌대학교,서울기독대학교,신경대학교,영남외대학교,예원예술대학교,웅지세무대학교,제주국제대학교,한국국제대학교,한려대학교
시도명,강원도,경상북도,전라남도,전라남도,충청남도,경상북도,대전광역시,경기도,부산광역시,경상북도,서울특별시,경기도,경상북도,전라북도,경기도,제주특별자치도,경상남도,전라남도
시군구명,태백시,경주시,나주시,광양시,논산시,칠곡군,유성구,안성시,북구,경주시,은평구,화성시,경산시,임실군,파주시,제주시,진주시,광양시
2016 년,*,1037,367,*,317,122,2392,537,572,1037,201,475,2840,*,45,1110,637,*
2017 년,*,1368,495,*,322,97,2611,601,683,1368,218,561,3799,*,74,1339,956,*
2018 년,*,2109,620,*,275,95,2750,802,1128,2109,237,765,5013,*,87,1873,1002,*
2019 년,*,2071,466,*,233,17,2657,828,1150,2071,304,923,6188,*,94,2266,1270,*
2020 년,*,1607,521,*,240,132,2267,785,949,1607,280,773,5378,*,84,2009,991,*
