"A 행정구역별",Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"A 행정구역별",T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D),T10 대학교 재학생수<br>(A+B+C+D)
"25030 서구",33891,34009,34304,35161,36060,35725,35334,34849,35250,34197,33282,32531,31873,31131,29743
"25040 유성구",50347,50078,49033,48999,53701,53642,53275,53247,52872,52088,50703,49767,48442,47263,44972
"25050 대덕구",16670,17081,17495,17691,18133,18623,18797,18651,18664,18320,16698,16822,16938,15540,15242
"26 울산광역시",31744,31913,32982,34125,35026,35944,36162,35759,35423,34540,33446,32602,32248,32080,31159
"26020 남구",19637,20031,20506,20798,20739,20776,20590,20133,19706,19147,18505,18056,17842,17677,17338
"26030 동구",9556,9285,9314,9312,9332,9385,9161,8678,8454,8221,8051,7990,8140,8400,8143
"26310 울주군",2551,2597,3162,4015,4955,5783,6411,6948,7263,7172,6890,6556,6266,6003,5678
"29 세종특별자치시",,,,,,,25608,25557,24902,24247,23562,23165,22734,22558,21777
"31 경기도",485552,499789,504165,502722,509167,498389,499221,482796,471130,461255,452326,443895,437390,433276,416739
"31010 수원시",54359,54418,55067,43893,44233,44113,43893,43323,42942,41896,41465,40858,40721,40660,40190
"31020 성남시",48323,43371,42426,44137,44829,50233,50945,50818,50665,49802,48998,48690,48460,48021,47474
"31030 의정부시",18855,19272,19214,19341,18851,19015,19276,17945,14826,14577,14957,14145,13943,13515,13620
"31040 안양시",38569,38843,39243,40247,40384,40059,39867,39643,37921,36271,35796,34934,33748,33693,33508
"31050 부천시",32361,33255,33741,33965,34593,35284,35327,34725,33812,32969,31851,31457,31219,30706,30102
"31070 평택시",11501,11896,12029,12583,12589,13016,13098,13050,13142,13018,12803,12220,11905,11694,10727
"31080 동두천시",392,623,843,1284,1620,1944,2245,1344,2281,2145,1962,1911,1858,1868,1863
"31090 안산시",31398,30993,30729,31176,31674,31599,31545,31160,30355,30745,29904,29668,29634,29835,28603
"31100 고양시",6915,7066,7081,7061,7093,7080,7044,7077,6761,6726,6617,6388,6335,6337,6244
"31130 남양주시",1033,421,152,45,5,3,3,,8672,8410,8323,8305,8263,8100,7942
"31140 오산시",15382,15462,15659,16030,16159,16290,16323,16214,16258,15875,15637,15310,15202,15238,14747
"31150 시흥시",15384,16297,16652,17133,17276,17847,18198,18173,18170,18265,17873,17148,17159,17531,17301
"31160 군포시",3474,3517,3588,3721,3786,3818,3813,3805,3646,3655,3633,3594,3503,3370,3318
"31170 의왕시",4979,4971,5007,5112,5122,5137,4917,4645,4541,4310,4371,4328,4238,4221,4046
"31190 용인시",66551,82755,84155,85263,85612,67547,67319,55593,54285,52634,51665,51136,50871,50144,48009
"31200 파주시",1387,1677,2197,2446,2505,2758,2748,2903,3061,3092,2924,2599,2262,1979,1547
"31210 이천시",9687,9829,9749,9862,9617,8258,8405,8349,8222,8116,7894,7795,7641,7817,7579
"31220 안성시",37212,36940,37152,37394,37069,35974,35600,34742,33699,32255,30570,29052,27068,26031,24190
"31230 김포시",5978,5935,5815,5935,5994,6174,5890,5567,5416,5397,5527,5465,5425,5181,4235
"31240 화성시",41017,41142,41543,42311,44624,45268,45518,44972,42068,40784,39591,38311,37180,35937,32534
"31250 광주시",7301,7577,7791,7898,7702,7584,7225,7009,6933,6704,6392,6343,6250,6058,5281
"31260 양주시",3374,3522,4322,5281,6286,7389,7660,8937,9894,10222,10678,11591,12323,13613,13310
"31270 포천시",19641,19625,19710,20306,20961,21381,21741,22251,13322,13380,13386,13354,13076,13067,12928
"31280 여주시",,,,,,,,9531,9185,8942,8478,8314,8159,7814,6716
"31320 경기 여주군",9147,9173,9161,9191,9541,9602,9610,,,,,,,,
"31380 양평군",1332,1209,1139,1107,1042,1016,1011,1020,1053,1065,1031,979,947,846,725
"32 강원도",128006,128506,126994,131027,134822,137281,138500,138504,135726,132608,129130,125143,122703,116054,109330
"32010 춘천시",39716,40059,40778,41778,42277,42301,42715,43005,42734,41275,40568,39634,39195,38558,37397
"32020 원주시",34368,33221,35360,36677,37419,38097,38794,39294,39397,39245,38733,38325,38003,34511,32544
"32030 강릉시",28069,29461,27527,28022,28984,30391,31069,31315,29612,28987,27852,27491,26747,26000,24589
"32040 동해시",1325,1531,1934,2303,2659,2775,2508,2177,1825,1442,1038,,,,
"32050 태백시",1420,1472,1380,1353,1484,1596,1678,1642,1830,1868,1836,1860,1849,1688,718
"32060 속초시",3758,3706,3465,3510,3470,3062,2220,1207,581,44,8,1,,,
"32070 삼척시",12248,12088,9707,10021,10351,10809,11111,11305,11176,10867,10711,10565,10476,9924,9612
"32320 횡성군",1398,1220,1291,1554,2049,2117,2143,2110,2178,2195,2267,2246,2196,2134,2103
"32330 영월군",1147,1183,1144,1157,1142,1231,1281,1278,1253,1235,1286,1139,1330,1301,1212
"32400 고성군",4557,4565,4408,4652,4987,4902,4981,5171,5140,5450,4831,3882,2907,1938,1155
"33 충청북도",125061,125438,126112,128410,130699,132588,134245,134283,133173,129138,126957,123135,118816,116655,111733
"33010 충북 청주시",52088,51905,51807,51823,51404,50815,50600,50598,,,,,,,
"33020 충주시",24324,24843,24962,24787,24828,25174,25589,25471,25341,25011,24312,23608,22805,22557,22246
"33030 제천시",16116,16238,16505,16788,17279,17414,17393,16937,16571,15793,15126,14597,14135,13896,12938
"33040 청주시",,,,,,,,,65809,63297,62943,60643,58705,57712,55902
"33310 충북 청원군",15854,15139,14982,15608,16210,16447,16601,16464,,,,,,,
"33330 옥천군",1682,1806,1856,1813,1805,1773,1811,1835,1815,1695,1613,1471,1395,1267,1173
"33340 영동군",4267,4462,4429,4746,4923,5225,5548,5769,5967,5820,5784,5680,5378,5187,4883
"33360 괴산군",658,213,316,741,1235,2129,3032,3907,4713,5090,5399,5672,5636,5591,5216
"33370 음성군",10072,10832,11255,12104,13015,13611,13671,13302,12957,12432,11780,11464,10762,10445,9375
"34 충청남도",228429,231473,235383,240699,242988,243667,215353,215287,209487,202721,197168,191722,187859,184548,178834
"34010 천안시",82019,83001,84259,86399,87469,87156,86916,85921,83336,80918,78622,77003,75504,73599,71311
"34020 공주시",26032,26717,26851,26675,27024,26834,21133,21018,20791,20295,19758,19212,18812,18415,17971
"34030 보령시",1652,1866,1946,2080,2062,2244,2400,2508,2550,2529,2502,2619,2506,2321,2117
"34040 아산시",48061,47786,48793,50256,50946,52214,50003,49422,48177,46669,45366,43899,43445,43831,43319
"34050 서산시",10449,10499,10489,10660,10747,10701,10644,10656,10106,9928,9749,9569,9270,9277,9190
"34060 논산시",10082,10088,10084,10048,9354,9034,8702,8491,7090,6835,6552,5857,5567,5221,4748
"34080 당진시",,,,,,7271,7270,7835,8156,6605,6239,5981,5799,5417,4835
"34310 금산군",10492,10793,11095,11543,11786,12312,12638,12834,12867,12632,12474,12266,12085,12156,11857
"34320 충남 연기군",19768,20004,20405,20651,20511,20355,,,,,,,,,
"34330 부여군",,,,,,,,743,751,744,735,736,737,760,767
"34350 청양군",1724,1760,1779,1775,1761,1798,1800,1761,1747,1747,1757,1708,1598,1503,1507
"34360 홍성군",11369,11987,12712,13380,13962,13748,13847,14098,13916,13819,13414,12872,12536,12048,11212
"34390 충남 당진군",6781,6972,6970,7232,7366,,,,,,,,,,
"35 전라북도",136767,134131,132779,132730,134272,134813,131655,130363,129924,126832,123601,120766,118227,116780,113242
"35010 전주시",50173,49688,50017,51121,52131,53835,53624,53867,54906,53907,52907,52446,52286,51784,50961
"35020 군산시",30297,30083,28555,27046,26471,25961,25818,25740,25882,24709,23926,22973,21703,20895,19833
"35030 익산시",33982,32497,31822,31748,32564,31786,31757,31639,30981,30421,29559,29558,28625,28323,27119
"35040 정읍시",1850,2104,2152,1967,1838,1737,1746,1744,1777,1789,1766,1769,1789,1862,1868
"35050 남원시",2550,2040,2053,2279,2671,3559,1454,1249,1136,1114,1012,,,,
"35060 김제시",1567,1583,1441,1437,1407,977,505,75,,,,,,,
"35310 완주군",15485,15241,15432,15659,15741,15534,15342,15348,14528,14148,13599,13091,12803,12569,12088
"35350 임실군",863,895,1307,1473,1449,1424,1409,701,714,744,832,929,1021,1347,1373
"36 전라남도",94681,90902,90337,90228,89915,86621,85497,83456,81302,79167,75866,74338,72187,69626,65323
"36010 목포시",10186,9982,10099,9476,9009,8637,8504,8530,8332,8113,7889,7733,7705,7429,6889
"36020 여수시",8279,8004,7726,7512,7280,6966,6731,6654,6497,6317,6193,6150,6125,5897,5904
"36030 순천시",22008,20998,20961,21260,20849,20262,20467,20228,19880,19409,18178,17777,17495,16972,16172
"36040 나주시",13091,12091,11523,11650,11928,12280,12206,12054,12133,11834,11702,11540,10990,10635,10002
"36060 광양시",4058,4063,4184,4423,4874,5230,4136,3411,3279,2754,2415,2106,1702,1277,878
"36310 담양군",1827,2379,2530,2608,2574,2487,2429,2264,2209,2222,2065,2017,1907,1884,1688
"36320 곡성군",4269,4145,4383,4801,4926,5208,5209,5163,5064,5033,4755,4725,4612,4357,4035
"36380 장흥군",533,,,,,,,,,,,,,,
"36390 강진군",4529,4123,3802,3249,2834,,,,,,,,,,
"36410 영암군",8225,8310,8487,8556,8668,8392,8605,7892,6997,8086,7827,7785,7322,7026,6332
"36420 무안군",17616,16751,16591,16642,16916,17099,17152,17204,16855,15349,14786,14447,14280,14102,13371
"36440 영광군",60,56,51,51,57,60,58,56,56,50,56,58,49,47,52
"37 경상북도",234466,232864,232813,234786,238438,235751,226828,223541,218978,211544,203602,195774,189481,186264,178369
"37010 포항시",15057,14686,14843,15161,15534,15640,15120,14832,14550,14139,13683,13278,12904,12658,12086
"37020 경주시",29255,28304,27464,26291,26054,24905,23521,22128,21317,20114,19325,18395,17364,16896,15762
"37030 김천시",6594,6676,6535,5817,5364,5550,6243,6329,6601,6545,6198,5918,5667,5311,5045
"37040 안동시",20078,19569,19408,19729,20097,18866,17888,17654,17274,16897,15973,15266,14836,14712,13570
"37050 구미시",22861,22821,23105,23967,25157,25695,26158,25792,25665,24968,23931,22961,22002,21221,20975
"37060 영주시",10939,10846,10786,10726,10765,11017,11010,11148,10825,10249,10094,9827,9550,9428,8701
"37070 영천시",1640,1637,1591,1543,1550,1415,1455,1407,1409,1401,1434,1536,1669,1628,1523
"37080 상주시",8134,8414,7683,7359,7009,6382,,,,,,,,,
"37090 문경시",744,759,795,943,1052,1058,1093,1133,1103,1094,1119,1095,1109,1112,1069
"37100 경산시",113394,113922,115418,118013,119943,118974,117992,116842,114037,110061,106066,102658,99766,98635,95212
"37370 고령군",593,152,149,76,51,44,17,7,3,,,,,,
"37390 칠곡군",4167,4064,3878,3872,4443,4745,4873,4827,4805,4792,4539,3626,3390,3424,3265
"37400 예천군",1010,1014,1158,1289,1419,1460,1458,1442,1389,1284,1240,1214,1224,1239,1161
"38 경상남도",139584,136814,129953,129357,130948,130688,129823,128959,126509,122471,118729,115431,111845,107580,101910
"38010 경남 창원시",23021,22041,21805,19920,,,,,,,,,,,
"38020 경남 마산시",34460,34212,33551,33721,,,,,,,,,,,
"38030 진주시",44561,44057,43326,43425,43542,43629,43497,42985,42307,41206,39932,38467,37264,35913,34147
"38070 김해시",16745,17308,17459,18031,18217,18448,18719,18949,18592,18120,17654,17348,16951,17366,16241
"38080 밀양시",4799,4242,19,,,,,,,,,,,,
"38090 거제시",1908,2054,2224,2454,2561,2551,2489,2425,2525,2437,2063,1935,1720,1613,1397
"38100 양산시",10083,9225,7879,7915,8205,7813,8102,8396,8083,7886,7611,7512,7194,6962,6487
"38110 창원시",,,,,54256,53917,52533,51671,50485,48228,46929,45730,44483,41697,39855
"38310 의령군",205,,,,,,,,,,,,,,
"38350 남해군",1939,1835,1813,1796,1814,1827,1758,1705,1639,1634,1567,1490,1404,1355,1291
"38390 거창군",1863,1840,1877,2095,2353,2503,2725,2828,2878,2960,2973,2949,2829,2674,2492
"39 제주특별자치도",29593,29253,28806,29150,29708,29482,29758,30239,30512,30399,30144,30055,29634,28773,27494
"39010 제주시",28578,28217,27855,28238,28781,28883,29418,30239,30512,30399,30144,30055,29634,28773,27494
"39020 서귀포시",1015,1036,951,912,927,599,340,,,,,,,,
