,대학교,대학교 좌표,반경,시도명,시군구명,행정동명,1km 이내 거리(m),상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,대학교_x,대학교_y
0,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,498.77386324402204,소매,의복의류,일반의류,128.982513192579,37.162565598277,128.9741902518472,37.1614947779487
1,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,616.5983738113771,음식,한식,갈비/삼겹살,128.983482042674,37.1591333641985,128.9741902518472,37.1614947779487
2,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,삼수동,965.5902269580447,생활서비스,주택수리,주택수리종합,128.978898552315,37.179986807198,128.9741902518472,37.1614947779487
3,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,804.0753197109141,음식,한식,갈비/삼겹살,128.985277832734,37.1621731922359,128.9741902518472,37.1614947779487
4,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,668.8576443187683,소매,종합소매점,수퍼마켓,128.984027003125,37.162958534866,128.9741902518472,37.1614947779487
5,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,황지동,938.8124089956357,소매,종합소매점,수퍼마켓,128.985888424124,37.1675747372682,128.9741902518472,37.1614947779487
6,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,906.8839723997387,소매,화장품소매,화장품판매점,128.985572048755,37.1553493825123,128.9741902518472,37.1614947779487
7,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,-57.62838672263922,소매,운동/경기용품소매,운동/경기용품,128.972054891178,37.1573983986985,128.9741902518472,37.1614947779487
8,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,250.5656139231507,소매,의약/의료품소매,의료용품소매,128.97675626811,37.1526649820303,128.9741902518472,37.1614947779487
9,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,435.24461420589506,학문/교육,학원-음악미술무용,피아노/바이올린/기타,128.980851840021,37.1551091991022,128.9741902518472,37.1614947779487
10,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,972.2278114617359,소매,음/식료품소매,청과물소매,128.986727673528,37.159376716665,128.9741902518472,37.1614947779487
11,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,239.53718597096457,음식,한식,곱창/양구이전문,128.98011297488,37.1597920486974,128.9741902518472,37.1614947779487
12,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,20.010383597377427,소매,종합소매점,수퍼마켓,128.978198627991,37.160636882168,128.9741902518472,37.1614947779487
13,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,392.69991871341136,음식,한식,냉면집,128.980320212393,37.1549153544875,128.9741902518472,37.1614947779487
14,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,668.8576443187683,생활서비스,이/미용/건강,여성미용실,128.984027003125,37.162958534866,128.9741902518472,37.1614947779487
15,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,삼수동,805.0920169099925,소매,자동차/자동차용품,자동차부품판매,128.975361627474,37.1790517956936,128.9741902518472,37.1614947779487
16,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,630.451315518882,소매,종합소매점,편의점,128.983721735017,37.1611228162513,128.9741902518472,37.1614947779487
17,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,322.26698754768046,생활서비스,세탁/가사서비스,세탁소/빨래방,128.980841683583,37.1595517325139,128.9741902518472,37.1614947779487
18,강원관광대학교,"(128.97419025184723, 37.16149477794874)",429.7220031601826,강원도,태백시,상장동,618.0464209740703,생활서비스,대중목욕탕/휴게,사우나/증기탕/온천,128.983608641525,37.1619527711267,128.9741902518472,37.1614947779487
