"SGG 행정구역별",Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"SGG 행정구역별",T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D)
"37030 김천시",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37040 안동시",4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
"37050 구미시",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"37060 영주시",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37070 영천시",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37080 상주시",1,,,,,,,,,,,,,,
"37090 문경시",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37100 경산시",13,12,12,12,12,12,12,12,12,12,12,10,10,10,10
"37370 고령군",1,1,1,1,1,1,1,,,,,,,,
"37390 칠곡군",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"37400 예천군",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38 경상남도",19,19,19,20,20,20,20,21,21,21,21,21,21,21,20
"38010 경남 창원시",2,2,2,2,,,,,,,,,,,
"38020 경남 마산시",3,3,3,3,,,,,,,,,,,
"38030 진주시",6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
"38070 김해시",3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
"38090 거제시",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38100 양산시",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"38110 창원시",,,,,5,5,5,5,5,5,5,5,5,5,5
"38350 남해군",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38390 거창군",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"39 제주특별자치도",6,5,5,5,5,4,4,4,4,4,4,4,4,4,4
