,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
0,2019,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019,대학교,사립,경남,기존,가야대학교(김해) ,2536.0,0.0,2450.0,2256.0,194.0,96.6,89.0
2,2019,대학교,사립,경기,기존,가천대학교 ,15364.0,0.0,18550.0,16286.0,2264.0,120.7,106.0
3,2019,대학교,사립,강원,기존,가톨릭관동대학교 ,8588.0,15.0,8057.0,7412.0,645.0,94.0,86.5
4,2019,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,432.0,0.0,448.0,428.0,20.0,103.7,99.1
5,2019,대학교,사립,경기,기존,가톨릭대학교 ,6028.0,0.0,7182.0,6373.0,809.0,119.1,105.7
6,2019,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,757.0,0.0,807.0,751.0,56.0,106.6,99.2
7,2019,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,220.0,0.0,192.0,178.0,14.0,87.3,80.9
8,2019,대학교,사립,서울,기존,감리교신학대학교 ,800.0,0.0,833.0,793.0,40.0,104.1,99.1
9,2019,대학교,사립,경기,기존,강남대학교 ,6030.0,0.0,6760.0,6146.0,614.0,112.1,101.9
10,2019,대학교,국립,강원,기존,강릉원주대학교 ,5489.0,0.0,5737.0,5302.0,435.0,104.5,96.6
11,2019,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,1963.0,0.0,2098.0,1965.0,133.0,106.9,100.1
12,2019,대학교,국립,강원,기존,강원대학교 ,12186.0,0.0,13904.0,12673.0,1231.0,114.1,104.0
13,2019,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,6169.0,0.0,5896.0,5483.0,413.0,95.6,88.9
14,2019,대학교,사립,서울,기존,건국대학교 ,12138.0,0.0,15933.0,12995.0,2938.0,131.3,107.1
15,2019,대학교,사립,충북,기존,건국대학교(글로컬) _분교,6442.0,0.0,7244.0,6412.0,832.0,112.4,99.5
16,2019,대학교,사립,충남,기존,건양대학교 ,3540.0,0.0,3763.0,3424.0,339.0,106.3,96.7
17,2019,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,3435.0,0.0,3584.0,3311.0,273.0,104.3,96.4
18,2019,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,2985.0,0.0,3531.0,2999.0,532.0,118.3,100.5
19,2019,대학교,사립,경기,기존,경기대학교 ,10491.0,0.0,11854.0,10525.0,1329.0,113.0,100.3
20,2019,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,1312.0,0.0,1997.0,1453.0,544.0,152.2,110.7
21,2019,대학교,국립,경남,폐교,경남과학기술대학교 ,4890.0,0.0,4831.0,4583.0,248.0,98.8,93.7
22,2019,대학교,사립,경남,기존,경남대학교 ,11708.0,0.0,11486.0,10718.0,768.0,98.1,91.5
23,2019,대학교,사립,강원,기존,경동대학교 ,1570.0,0.0,1833.0,1277.0,556.0,116.8,81.3
24,2019,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,3550.0,0.0,3828.0,3496.0,332.0,107.8,98.5
25,2019,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,2020.0,0.0,2133.0,1942.0,191.0,105.6,96.1
26,2019,대학교,국립,대구,기존,경북대학교 ,18968.0,0.0,22718.0,20494.0,2224.0,119.8,108.0
27,2019,대학교,국립,경남,기존,경상국립대학교 ,12499.0,0.0,14208.0,12894.0,1314.0,113.7,103.2
28,2019,대학교,사립,부산,기존,경성대학교 ,11260.0,0.0,12255.0,10818.0,1437.0,108.8,96.1
29,2019,대학교,사립,경북,기존,경운대학교 ,4762.0,0.0,4486.0,4247.0,239.0,94.2,89.2
30,2019,교육대학,국립,인천,기존,경인교육대학교 ,2392.0,0.0,1313.0,1192.0,121.0,54.9,49.8
31,2019,교육대학,국립,경기,기존,경인교육대학교 _제2캠퍼스,0.0,0.0,1303.0,1187.0,116.0,0.0,0.0
32,2019,대학교,사립,경북,기존,경일대학교 ,6387.0,0.0,6846.0,6218.0,628.0,107.2,97.4
33,2019,대학교,사립,경북,기존,경주대학교 ,3048.0,0.0,1120.0,885.0,235.0,36.7,29.0
34,2019,대학교,사립,서울,기존,경희대학교 ,19574.0,0.0,26430.0,20839.0,5591.0,135.0,106.5
35,2019,사이버대학(대학),사립,서울,기존,경희사이버대학교 ,9230.0,0.0,9294.0,6408.0,2886.0,100.7,69.4
36,2019,대학교,사립,대구,기존,계명대학교 ,18792.0,0.0,21195.0,19060.0,2135.0,112.8,101.4
37,2019,대학교,사립,서울,기존,고려대학교 ,15448.0,3.0,21165.0,16758.0,4407.0,137.0,108.5
38,2019,대학교,사립,세종,기존,고려대학교(세종) _분교,5611.0,0.0,6443.0,5704.0,739.0,114.8,101.7
39,2019,사이버대학(대학),사립,서울,기존,고려사이버대학교 ,7500.0,0.0,8967.0,6859.0,2108.0,119.6,91.5
40,2019,대학교,사립,부산,기존,고신대학교 ,3696.0,0.0,3925.0,3703.0,222.0,106.2,100.2
41,2019,교육대학,국립,충남,기존,공주교육대학교 ,1416.0,0.0,1477.0,1376.0,101.0,104.3,97.2
42,2019,대학교,국립,충남,기존,공주대학교 ,11013.0,0.0,13174.0,11255.0,1919.0,119.6,102.2
43,2019,대학교,사립,광주,기존,광신대학교 ,523.0,0.0,502.0,471.0,31.0,96.0,90.1
44,2019,대학교,사립,서울,기존,광운대학교 ,6799.0,0.0,8199.0,6936.0,1263.0,120.6,102.0
45,2019,대학교,사립,전남,기존,광주가톨릭대학교 ,160.0,0.0,76.0,76.0,0.0,47.5,47.5
46,2019,대학교,특별법법인,광주,기존,광주과학기술원 ,800.0,0.0,772.0,772.0,0.0,96.5,96.5
47,2019,교육대학,국립,광주,기존,광주교육대학교 ,1304.0,0.0,1360.0,1266.0,94.0,104.3,97.1
48,2019,대학교,사립,광주,기존,광주대학교 ,6596.0,0.0,6869.0,6413.0,456.0,104.1,97.2
49,2019,대학교,사립,광주,기존,광주여자대학교 ,3580.0,0.0,3614.0,3353.0,261.0,100.9,93.7
50,2019,대학교,사립,서울,기존,국민대학교 ,11530.0,0.0,15575.0,12179.0,3396.0,135.1,105.6
51,2019,사이버대학(대학),사립,경기,기존,국제사이버대학교 ,2840.0,0.0,3046.0,2471.0,575.0,107.3,87.0
52,2019,대학교,국립,전북,기존,군산대학교 ,6978.0,0.0,7131.0,6638.0,493.0,102.2,95.1
53,2019,대학교,사립,충북,기존,극동대학교 ,3829.0,0.0,3786.0,3605.0,181.0,98.9,94.1
54,2019,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,2853.0,0.0,2325.0,2293.0,32.0,81.5,80.4
55,2019,대학교,사립,충남,기존,금강대학교 ,545.0,0.0,394.0,389.0,5.0,72.3,71.4
56,2019,대학교,국립,경북,기존,금오공과대학교 ,4880.0,0.0,5707.0,5058.0,649.0,116.9,103.6
57,2019,대학교,사립,경북,기존,김천대학교 ,3625.0,1.0,3257.0,2965.0,292.0,89.9,81.8
58,2019,대학교,사립,충남,기존,나사렛대학교 ,4871.0,0.0,5151.0,4520.0,631.0,105.7,92.8
59,2019,대학교,사립,광주,기존,남부대학교 ,2820.0,0.0,3022.0,2589.0,433.0,107.2,91.8
60,2019,대학교,사립,충남,기존,남서울대학교 ,8898.0,0.0,9597.0,8526.0,1071.0,107.9,95.8
61,2019,산업대학,사립,충남,폐교,남서울대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2019,대학교,사립,경기,기존,단국대학교 ,9192.0,0.0,11811.0,10022.0,1789.0,128.5,109.0
63,2019,대학교,사립,충남,기존,단국대학교 _제2캠퍼스,9738.0,0.0,11263.0,10130.0,1133.0,115.7,104.0
64,2019,대학교,사립,경북,기존,대구가톨릭대학교 ,11797.0,0.0,12541.0,11602.0,939.0,106.3,98.3
65,2019,대학교,특별법법인,대구,기존,대구경북과학기술원 ,860.0,0.0,792.0,772.0,20.0,92.1,89.8
66,2019,교육대학,국립,대구,기존,대구교육대학교 ,1533.0,0.0,1618.0,1499.0,119.0,105.5,97.8
67,2019,대학교,사립,경북,기존,대구대학교 ,16326.0,0.0,17030.0,15355.0,1675.0,104.3,94.1
68,2019,사이버대학(대학),사립,경북,기존,대구사이버대학교 ,3855.0,0.0,3914.0,3037.0,877.0,101.5,78.8
69,2019,대학교,사립,경북,기존,대구예술대학교 ,1786.0,0.0,1102.0,1080.0,22.0,61.7,60.5
70,2019,대학교,사립,경북,기존,대구한의대학교 ,6288.0,0.0,6388.0,5922.0,466.0,101.6,94.2
71,2019,대학교,사립,경북,기존,대신대학교 ,473.0,6.0,424.0,410.0,14.0,90.8,87.8
72,2019,대학교,사립,세종,기존,대전가톨릭대학교 ,160.0,0.0,48.0,47.0,1.0,30.0,29.4
73,2019,대학교,사립,대전,기존,대전대학교 ,8708.0,0.0,9106.0,8452.0,654.0,104.6,97.1
74,2019,대학교,사립,대전,기존,대전신학대학교 ,240.0,0.0,101.0,98.0,3.0,42.1,40.8
75,2019,대학교,사립,경기,기존,대진대학교 ,7342.0,0.0,7513.0,6873.0,640.0,102.3,93.6
76,2019,대학교,사립,서울,기존,덕성여자대학교 ,5111.0,0.0,5620.0,5181.0,439.0,110.0,101.4
77,2019,대학교,사립,서울,기존,동국대학교 ,10860.0,0.0,13975.0,11326.0,2649.0,128.7,104.3
78,2019,대학교,사립,경북,기존,동국대학교(경주) _분교,7110.0,0.0,7711.0,6850.0,861.0,108.5,96.3
79,2019,대학교,사립,서울,기존,동덕여자대학교 ,6188.0,76.0,6837.0,6134.0,703.0,111.9,100.4
80,2019,대학교,사립,부산,기존,동명대학교 ,7312.0,0.0,7905.0,7188.0,717.0,108.1,98.3
81,2019,대학교,사립,부산,기존,동서대학교 ,9815.0,0.0,10457.0,9622.0,835.0,106.5,98.0
