영남외대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
68,정형외과,마디튼튼연합의원,경북 경산시 경산로 47,3013,128.732194787777,35.8133770846832
69,"노인,요양병원",도움요양병원,경북 경산시 평산1길 37-35,3057,128.76324439681,35.7993392389435
70,정형외과,새본정형외과,경북 경산시 백자로 77,3535,128.755213234237,35.8127304076665
71,내과,건강한장연합내과의원,경북 경산시 백자로 65,3433,128.75456724967867,35.81198109121378
72,이비인후과,정이비인후과의원,경북 경산시 백자로10길 3-11,3391,128.754771486921,35.8114085965273
73,이비인후과,상쾌한이비인후과,경북 경산시 백양로35길 1-3,3633,128.759179155311,35.811416248003
74,안과,경산제일안과의원,경북 경산시 중앙로 78,4069,128.735501377914,35.8228696397733
75,"고속,시외버스터미널",경산시외버스정류장,경북 경산시 경안로 196,4317,128.73751755245328,35.82501042147774
76,"고속,시외버스터미널",자인버스정류장,경북 경산시 자인면 설총로 896-4,9047,128.826390788436,35.816530377954
77,KTX정차역,경산역,경북 경산시 중앙로 1,3708,128.727940928681,35.8193488422438
78,기차역,삼성역,경북 경산시 남천면 삼성역길 64-23,2748,128.722826077873,35.7630544633803
79,기차역,남성현역,경북 청도군 화양읍 다로길 39,9183,128.716319070338,35.7046957013505
80,기차역,가천역,대구 수성구 천을로23길 259,8298,128.692693169419,35.8532284970623
