,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
51,2020,대학교,사립,충북,기존,극동대학교 ,935.0,940.0,8829.0,552.0,380.0,99.1,9.4
52,2020,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,1100.0,1100.0,1247.0,323.0,613.0,85.1,1.1
53,2020,대학교,사립,충남,기존,금강대학교 ,110.0,110.0,148.0,58.0,32.0,81.8,1.3
54,2020,대학교,국립,경북,기존,금오공과대학교 ,1206.0,1210.0,6709.0,919.0,287.0,99.7,5.5
55,2020,대학교,사립,경북,기존,김천대학교 ,691.0,691.0,3206.0,326.0,333.0,95.4,4.6
56,2020,대학교,사립,충남,기존,나사렛대학교 ,1211.0,1213.0,6820.0,571.0,641.0,99.9,5.6
57,2020,대학교,사립,광주,기존,남부대학교 ,705.0,707.0,3833.0,320.0,382.0,99.3,5.4
58,2020,대학교,사립,충남,기존,남서울대학교 ,2164.0,2164.0,16708.0,982.0,1182.0,100.0,7.7
59,2020,대학교,사립,경기,기존,단국대학교 ,2275.0,2283.0,31879.0,1130.0,1145.0,99.6,14.0
60,2020,대학교,사립,충남,기존,단국대학교 _제2캠퍼스,2340.0,2347.0,18782.0,970.0,1370.0,99.7,8.0
61,2020,대학교,사립,경북,기존,대구가톨릭대학교 ,2862.0,2863.0,19750.0,1438.0,1425.0,100.0,6.9
62,2020,대학교,특별법법인,대구,기존,대구경북과학기술원 ,220.0,220.0,3466.0,167.0,64.0,105.0,15.8
63,2020,교육대학,국립,대구,기존,대구교육대학교 ,383.0,383.0,1633.0,142.0,241.0,100.0,4.3
64,2020,대학교,사립,경북,기존,대구대학교 ,4059.0,4077.0,25414.0,2067.0,2008.0,100.0,6.2
65,2020,사이버대학(대학),사립,경북,기존,대구사이버대학교 ,1500.0,1500.0,1851.0,238.0,912.0,76.7,1.2
66,2020,대학교,사립,경북,기존,대구예술대학교 ,430.0,430.0,888.0,127.0,105.0,54.0,2.1
67,2020,대학교,사립,경북,기존,대구한의대학교 ,1518.0,1520.0,11477.0,691.0,828.0,99.9,7.6
68,2020,대학교,사립,경북,기존,대신대학교 ,116.0,116.0,266.0,55.0,61.0,100.0,2.3
69,2020,대학교,사립,세종,기존,대전가톨릭대학교 ,40.0,40.0,15.0,14.0,0.0,35.0,0.4
70,2020,대학교,사립,대전,기존,대전대학교 ,2045.0,2056.0,11227.0,1062.0,991.0,99.9,5.5
71,2020,대학교,사립,대전,기존,대전신학대학교 ,32.0,32.0,34.0,12.0,4.0,50.0,1.1
72,2020,대학교,사립,경기,기존,대진대학교 ,1793.0,1793.0,11149.0,940.0,852.0,99.9,6.2
73,2020,대학교,사립,서울,기존,덕성여자대학교 ,1040.0,1043.0,12989.0,0.0,1040.0,99.7,12.5
74,2020,대학교,사립,서울,기존,동국대학교 ,2685.0,2698.0,47681.0,1297.0,1396.0,99.8,17.7
75,2020,대학교,사립,경북,기존,동국대학교(경주) _분교,1754.0,1764.0,10668.0,970.0,788.0,99.7,6.0
76,2020,대학교,사립,서울,기존,동덕여자대학교 ,1507.0,1510.0,19173.0,0.0,1509.0,99.9,12.7
77,2020,대학교,사립,부산,기존,동명대학교 ,1818.0,1821.0,11990.0,1043.0,725.0,97.1,6.6
78,2020,대학교,사립,부산,기존,동서대학교 ,2375.0,2375.0,15468.0,1170.0,1175.0,98.7,6.5
79,2020,대학교,사립,전남,기존,동신대학교 ,1548.0,1560.0,8269.0,776.0,638.0,90.6,5.3
80,2020,대학교,사립,부산,기존,동아대학교 ,4058.0,4064.0,27228.0,1947.0,2109.0,99.8,6.7
81,2020,대학교,사립,경북,기존,동양대학교 ,1028.0,1028.0,5607.0,671.0,325.0,96.9,5.5
82,2020,대학교,사립,부산,기존,동의대학교 ,3595.0,3596.0,26778.0,1914.0,1678.0,99.9,7.4
83,2020,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교 ,990.0,990.0,1467.0,304.0,461.0,77.3,1.5
84,2020,대학교,사립,경기,기존,루터대학교 ,85.0,86.0,327.0,44.0,42.0,100.0,3.8
85,2020,대학교,사립,경기,기존,명지대학교 ,1397.0,1404.0,12624.0,865.0,538.0,99.9,9.0
86,2020,대학교,사립,서울,기존,명지대학교 _제2캠퍼스,1263.0,1269.0,11169.0,503.0,759.0,99.4,8.8
87,2020,대학교,사립,대전,기존,목원대학교 ,1864.0,1864.0,10554.0,1029.0,835.0,100.0,5.7
88,2020,대학교,사립,전남,기존,목포가톨릭대학교 ,120.0,120.0,443.0,19.0,101.0,100.0,3.7
89,2020,대학교,국립,전남,기존,목포대학교 ,1576.0,1591.0,8646.0,887.0,688.0,99.0,5.4
90,2020,대학교,국립,전남,기존,목포해양대학교 ,691.0,694.0,2822.0,598.0,94.0,99.7,4.1
91,2020,대학교,사립,대전,기존,배재대학교 ,2048.0,2058.0,13030.0,1129.0,927.0,99.9,6.3
92,2020,대학교,사립,충남,기존,백석대학교 ,2790.0,2797.0,24883.0,1118.0,1678.0,100.0,8.9
93,2020,대학교,국립,부산,기존,부경대학교 ,3270.0,3273.0,23588.0,1709.0,1556.0,99.8,7.2
94,2020,대학교,사립,부산,기존,부산가톨릭대학교 ,916.0,918.0,5514.0,366.0,517.0,96.2,6.0
95,2020,교육대학,국립,부산,기존,부산교육대학교 ,356.0,357.0,1649.0,145.0,212.0,100.0,4.6
96,2020,대학교,국립,부산,기존,부산대학교 ,4181.0,4190.0,44843.0,2455.0,1730.0,99.9,10.7
97,2020,사이버대학(대학),사립,부산,기존,부산디지털대학교 ,1000.0,1000.0,1076.0,159.0,629.0,78.8,1.1
98,2020,대학교,사립,부산,기존,부산외국어대학교 ,1813.0,1817.0,8433.0,846.0,972.0,100.1,4.6
99,2020,대학교,사립,경남,기존,부산장신대학교 ,49.0,49.0,89.0,31.0,17.0,98.0,1.8
100,2020,사이버대학(대학),사립,서울,기존,사이버한국외국어대학교 ,1600.0,1600.0,1913.0,430.0,930.0,85.0,1.2
101,2020,대학교,사립,서울,기존,삼육대학교 ,1122.0,1122.0,14250.0,465.0,656.0,99.9,12.7
102,2020,대학교,사립,서울,기존,상명대학교 ,1302.0,1302.0,13072.0,642.0,659.0,99.9,10.0
103,2020,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,1305.0,1305.0,12741.0,536.0,769.0,100.0,9.8
104,2020,대학교,사립,강원,기존,상지대학교 ,2255.0,2282.0,12718.0,1380.0,846.0,97.5,5.6
