,대학,면적
187,충북대학교 ,451023.0
188,칼빈대학교 ,7924.0
189,케이씨대학교 ,31768.0
190,평택대학교 ,109848.0
191,포항공과대학교 ,118776.0
192,한경대학교 ,158814.0
193,한국공학대학교 ,220456.0
194,한국과학기술원 ,384942.0
195,한국교원대학교 ,104806.0
196,한국교통대학교 ,239434.0
197,한국국제대학교 ,85096.0
198,한국기술교육대학교 ,139568.0
199,한국방송통신대학교 ,5855204.0
200,한국성서대학교 ,13376.0
201,한국예술종합학교 ,127908.0
202,한국외국어대학교 ,396370.0
203,한국전통문화대학교 ,15000.0
204,한국체육대학교 ,92264.0
205,한국침례신학대학교 ,59904.0
206,한국항공대학교 ,136036.0
207,한국해양대학교 ,236304.0
208,한남대학교 ,317048.0
209,한동대학교 ,104692.0
210,한라대학교 ,119520.0
211,한려대학교 ,42096.0
212,한림대학교 ,227660.0
213,한밭대학교 ,279810.0
214,한서대학교 ,223528.0
215,한성대학교 ,138944.0
216,한세대학교 ,78768.0
217,한신대학교 ,142458.0
218,한양대학교 ,545640.0
219,한양대학교(ERICA) _분교,300020.0
220,한일장신대학교 ,34176.0
221,협성대학교 ,128072.0
222,호남대학교 ,215420.0
223,호남신학대학교 ,12904.0
224,호서대학교 ,396273.0
225,호원대학교 ,142600.0
226,홍익대학교 ,402204.0
227,홍익대학교 _제2캠퍼스,193996.0
