,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
442,2021 년 상반기,사이버대학(대학),사립,서울,기존,한국열린사이버대학교 ,3200.0,0.0,6026.0,3098.0,2928.0,188.3,96.8
443,2020 년 하반기,각종학교(대학),특별법국립,서울,기존,한국예술종합학교 ,2252.0,0.0,2534.0,2411.0,123.0,112.5,107.1
444,2021 년 상반기,각종학교(대학),특별법국립,서울,기존,한국예술종합학교 ,2252.0,0.0,2647.0,2514.0,133.0,117.5,111.6
445,2020 년 하반기,대학교,사립,서울,기존,한국외국어대학교 ,13508.0,0.0,16206.0,13353.0,2853.0,120.0,98.9
446,2021 년 상반기,대학교,사립,서울,기존,한국외국어대학교 ,13508.0,0.0,17522.0,14507.0,3015.0,129.7,107.4
447,2020 년 하반기,대학교,특별법국립,충남,기존,한국전통문화대학교 ,560.0,0.0,550.0,536.0,14.0,98.2,95.7
448,2021 년 상반기,대학교,특별법국립,충남,기존,한국전통문화대학교 ,560.0,0.0,613.0,599.0,14.0,109.5,107.0
449,2020 년 하반기,대학교,국립,서울,기존,한국체육대학교 ,2225.0,0.0,2474.0,2339.0,135.0,111.2,105.1
450,2021 년 상반기,대학교,국립,서울,기존,한국체육대학교 ,2170.0,0.0,2447.0,2317.0,130.0,112.8,106.8
451,2020 년 하반기,대학교,사립,대전,기존,한국침례신학대학교 ,1440.0,0.0,1191.0,1153.0,38.0,82.7,80.1
452,2021 년 상반기,대학교,사립,대전,기존,한국침례신학대학교 ,1425.0,0.0,1058.0,1025.0,33.0,74.2,71.9
453,2020 년 하반기,대학교,사립,경기,기존,한국항공대학교 ,3335.0,0.0,3542.0,3095.0,447.0,106.2,92.8
454,2021 년 상반기,대학교,사립,경기,기존,한국항공대학교 ,3358.0,0.0,3816.0,3367.0,449.0,113.6,100.3
455,2020 년 하반기,대학교,국립,부산,기존,한국해양대학교 ,5760.0,0.0,6023.0,5347.0,676.0,104.6,92.8
456,2021 년 상반기,대학교,국립,부산,기존,한국해양대학교 ,5692.0,0.0,6368.0,5738.0,630.0,111.9,100.8
457,2020 년 하반기,대학교,사립,대전,기존,한남대학교 ,10733.0,0.0,10411.0,9571.0,840.0,97.0,89.2
458,2021 년 상반기,대학교,사립,대전,기존,한남대학교 ,10773.0,0.0,10858.0,9985.0,873.0,100.8,92.7
459,2020 년 하반기,대학교,사립,경북,기존,한동대학교 ,2916.0,0.0,3544.0,3111.0,433.0,121.5,106.7
460,2021 년 상반기,대학교,사립,경북,기존,한동대학교 ,2916.0,0.0,3955.0,3467.0,488.0,135.6,118.9
461,2020 년 하반기,대학교,사립,강원,기존,한라대학교 ,3573.0,0.0,3195.0,3018.0,177.0,89.4,84.5
462,2021 년 상반기,대학교,사립,강원,기존,한라대학교 ,3561.0,0.0,3420.0,3193.0,227.0,96.0,89.7
