웅지세무대학교,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
59,종합병원,메디인병원,경기 파주시 시청로 6,7495,126.774857855273,37.7580281577675
60,정형외과,현대정형외과의원,경기 파주시 문산읍 문향로49번길 12,6081,126.784821668481,37.8565862913259
61,"노인,요양병원",한사랑요양병원,경기 파주시 파주읍 통일로 1568,5873,126.790782226696,37.8479443022896
62,안과,문산제일안과의원,경기 파주시 문산읍 문향로 52-1,6143,126.78554942970592,37.85680024314306
63,정형외과,문산서울정형외과,경기 파주시 문산읍 문산로40번길 22,5984,126.7834813031,37.8564180595767
64,시도립병원,경기도의료원 파주병원,경기 파주시 중앙로 207,8000,126.77962654033324,37.75489640637029
65,피부과,미소드림피부과의원,경기 파주시 중앙로 331,6791,126.77384310677,37.7648122782558
66,내과,김재헌내과의원,경기 파주시 중앙로 328,6814,126.77452839395364,37.76487846075281
67,기차역,파주역,경기 파주시 파주읍 주라위길 38,5042,126.792918852004,37.8152182264983
68,기차역,금촌역,경기 파주시 새꽃로 193,6695,126.774619832917,37.7661616079929
69,기차역,문산역,,6104,126.787563683399,37.8545803493892
70,기차역,운천역,,7499,126.769754046937,37.8799680237519
71,기차역,임진강역,경기 파주시 문산읍 임진각로 115,7893,126.746977405278,37.8885703484595
72,기차역,도라산역,,9244,126.7099672643873,37.89875122774505
