,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
0,2021,대학교,사립,경남,기존,가야대학교(김해) ,518.0,524.0,2737.0,218.0,205.0,80.7,5.2
1,2021,대학교,사립,경기,기존,가천대학교 ,3866.0,3868.0,59775.0,1993.0,1874.0,100.0,15.5
2,2021,대학교,사립,강원,기존,가톨릭관동대학교 ,2045.0,2052.0,8663.0,920.0,593.0,73.7,4.2
3,2021,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,108.0,109.0,490.0,47.0,57.0,95.4,4.5
4,2021,대학교,사립,경기,기존,가톨릭대학교 ,1552.0,1556.0,14140.0,668.0,887.0,99.9,9.1
5,2021,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,173.0,173.0,6273.0,82.0,91.0,100.0,36.3
6,2021,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,50.0,50.0,59.0,40.0,10.0,100.0,1.2
7,2021,대학교,사립,서울,기존,감리교신학대학교 ,200.0,206.0,232.0,101.0,44.0,70.4,1.1
8,2021,대학교,사립,경기,기존,강남대학교 ,1491.0,1502.0,8596.0,667.0,834.0,99.9,5.7
9,2021,대학교,국립,강원,기존,강릉원주대학교 ,1341.0,1345.0,7013.0,687.0,533.0,90.7,5.2
10,2021,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,492.0,494.0,2597.0,284.0,202.0,98.4,5.3
11,2021,대학교,국립,강원,기존,강원대학교 ,2983.0,2994.0,18024.0,1758.0,1229.0,99.8,6.0
12,2021,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,1529.0,1540.0,6693.0,951.0,545.0,97.1,4.3
13,2021,대학교,사립,서울,기존,건국대학교 ,3000.0,3028.0,47281.0,1717.0,1278.0,98.9,15.6
14,2021,대학교,사립,충북,기존,건국대학교(글로컬) _분교,1549.0,1553.0,13061.0,724.0,828.0,99.9,8.4
15,2021,대학교,사립,충남,기존,건양대학교 ,815.0,818.0,4686.0,363.0,349.0,87.0,5.7
16,2021,대학교,사립,대전,기존,건양대학교 _제2캠퍼스,808.0,809.0,6194.0,245.0,562.0,99.8,7.7
17,2021,사이버대학(대학),사립,대전,기존,건양사이버대학교 ,900.0,900.0,1086.0,181.0,596.0,86.3,1.2
18,2021,대학교,사립,경기,기존,경기대학교 ,2598.0,2601.0,20216.0,1311.0,1287.0,99.9,7.8
19,2021,대학교,사립,서울,기존,경기대학교 _제2캠퍼스,328.0,329.0,5965.0,92.0,237.0,100.0,18.1
20,2021,대학교,국립,경남,폐교,경남과학기술대학교 ,1175.0,1179.0,5722.0,761.0,375.0,96.4,4.9
21,2021,대학교,사립,경남,기존,경남대학교 ,2740.0,2757.0,10300.0,1184.0,767.0,70.8,3.7
22,2021,대학교,사립,강원,기존,경동대학교 ,42.0,42.0,151.0,24.0,9.0,78.6,3.6
23,2021,대학교,사립,강원,기존,경동대학교 _제3캠퍼스,948.0,949.0,5479.0,233.0,669.0,95.0,5.8
24,2021,대학교,사립,경기,기존,경동대학교 _제4캠퍼스,654.0,656.0,4044.0,389.0,249.0,97.3,6.2
25,2021,대학교,국립,대구,기존,경북대학교 ,4614.0,4624.0,42574.0,2661.0,1894.0,98.5,9.2
26,2021,대학교,국립,경남,기존,경상국립대학교 ,3108.0,3113.0,18711.0,1717.0,1329.0,97.8,6.0
27,2021,대학교,사립,부산,기존,경성대학교 ,2740.0,2747.0,15940.0,1284.0,1430.0,98.8,5.8
28,2021,대학교,사립,경북,기존,경운대학교 ,1184.0,1184.0,7988.0,689.0,476.0,98.4,6.7
29,2021,교육대학,국립,인천,기존,경인교육대학교 ,598.0,600.0,1933.0,150.0,448.0,99.7,3.2
30,2021,대학교,사립,경북,기존,경일대학교 ,1584.0,1584.0,8046.0,1026.0,520.0,97.6,5.1
31,2021,대학교,사립,경북,기존,경주대학교 ,762.0,701.0,722.0,67.0,38.0,15.0,1.0
32,2021,대학교,사립,서울,기존,경희대학교 ,4720.0,4741.0,71971.0,2429.0,2290.0,99.5,15.2
33,2021,사이버대학(대학),사립,서울,기존,경희사이버대학교 ,3000.0,3000.0,3132.0,947.0,1573.0,84.0,1.0
34,2021,대학교,사립,대구,기존,계명대학교 ,4605.0,4615.0,27116.0,2182.0,2361.0,98.4,5.9
35,2021,대학교,사립,서울,기존,고려대학교 ,3889.0,3896.0,33806.0,2062.0,1839.0,100.1,8.7
36,2021,대학교,사립,세종,기존,고려대학교(세종) _분교,1434.0,1437.0,14076.0,903.0,534.0,100.0,9.8
37,2021,사이버대학(대학),사립,서울,기존,고려사이버대학교 ,2485.0,2485.0,3588.0,1176.0,1089.0,91.1,1.4
38,2021,대학교,사립,부산,기존,고신대학교 ,886.0,886.0,5873.0,364.0,497.0,97.2,6.6
39,2021,교육대학,국립,충남,기존,공주교육대학교 ,354.0,354.0,1319.0,147.0,207.0,100.0,3.7
40,2021,대학교,국립,충남,기존,공주대학교 ,2755.0,2759.0,19491.0,1333.0,1417.0,99.7,7.1
41,2021,대학교,사립,광주,기존,광신대학교 ,122.0,122.0,189.0,44.0,78.0,100.0,1.5
42,2021,대학교,사립,서울,기존,광운대학교 ,1684.0,1687.0,19436.0,1063.0,621.0,99.8,11.5
43,2021,대학교,사립,전남,기존,광주가톨릭대학교 ,40.0,40.0,22.0,22.0,0.0,55.0,0.6
44,2021,대학교,특별법법인,광주,기존,광주과학기술원 ,200.0,200.0,3312.0,150.0,61.0,105.5,16.6
45,2021,교육대학,국립,광주,기존,광주교육대학교 ,326.0,327.0,1531.0,134.0,192.0,99.7,4.7
46,2021,대학교,사립,광주,기존,광주대학교 ,1644.0,1652.0,8028.0,725.0,768.0,90.4,4.9
47,2021,대학교,사립,광주,기존,광주여자대학교 ,920.0,920.0,4500.0,0.0,885.0,96.2,4.9
48,2021,대학교,사립,서울,기존,국민대학교 ,2863.0,2869.0,25162.0,1616.0,1249.0,99.9,8.8
49,2021,사이버대학(대학),사립,경기,기존,국제사이버대학교 ,900.0,900.0,1194.0,350.0,499.0,94.3,1.3
50,2021,대학교,국립,전북,기존,군산대학교 ,1735.0,1739.0,6667.0,958.0,546.0,86.5,3.8
51,2021,대학교,사립,충북,기존,극동대학교 ,841.0,841.0,5369.0,345.0,231.0,68.5,6.4
52,2021,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,1100.0,1100.0,913.0,267.0,449.0,65.1,0.8
53,2021,대학교,사립,충남,기존,금강대학교 ,110.0,110.0,73.0,12.0,17.0,26.4,0.7
54,2021,대학교,국립,경북,기존,금오공과대학교 ,1206.0,1208.0,6145.0,931.0,272.0,99.6,5.1
55,2021,대학교,사립,경북,기존,김천대학교 ,691.0,691.0,3787.0,366.0,306.0,97.3,5.5
56,2021,대학교,사립,충남,기존,나사렛대학교 ,1211.0,1155.0,7685.0,566.0,545.0,96.2,6.7
57,2021,대학교,사립,광주,기존,남부대학교 ,656.0,658.0,3826.0,321.0,329.0,98.8,5.8
58,2021,대학교,사립,충남,기존,남서울대학교 ,2187.0,2190.0,14610.0,1139.0,1023.0,98.7,6.7
59,2021,대학교,사립,경기,기존,단국대학교 ,2275.0,2278.0,28466.0,1208.0,1061.0,99.6,12.5
60,2021,대학교,사립,충남,기존,단국대학교 _제2캠퍼스,2340.0,2354.0,17619.0,973.0,1375.0,99.7,7.5
61,2021,대학교,사립,경북,기존,대구가톨릭대학교 ,2862.0,2864.0,15556.0,1233.0,1166.0,83.8,5.4
62,2021,대학교,특별법법인,대구,기존,대구경북과학기술원 ,220.0,220.0,3199.0,139.0,60.0,90.5,14.5
63,2021,교육대학,국립,대구,기존,대구교육대학교 ,383.0,384.0,1595.0,160.0,223.0,99.7,4.2
64,2021,대학교,사립,경북,기존,대구대학교 ,4059.0,4070.0,20679.0,1740.0,1550.0,80.8,5.1
65,2021,사이버대학(대학),사립,경북,기존,대구사이버대학교 ,1500.0,1500.0,1824.0,266.0,1004.0,84.7,1.2
66,2021,대학교,사립,경북,기존,대구예술대학교 ,387.0,387.0,673.0,56.0,67.0,31.8,1.7
67,2021,대학교,사립,경북,기존,대구한의대학교 ,1518.0,1518.0,9591.0,625.0,836.0,96.2,6.3
68,2021,대학교,사립,경북,기존,대신대학교 ,116.0,116.0,237.0,62.0,54.0,100.0,2.0
69,2021,대학교,사립,세종,기존,대전가톨릭대학교 ,40.0,40.0,8.0,6.0,1.0,17.5,0.2
70,2021,대학교,사립,대전,기존,대전대학교 ,2009.0,2016.0,15255.0,953.0,878.0,90.8,7.6
71,2021,대학교,사립,대전,기존,대전신학대학교 ,32.0,32.0,18.0,3.0,9.0,37.5,0.6
72,2021,대학교,사립,경기,기존,대진대학교 ,1793.0,1793.0,8950.0,1006.0,782.0,99.7,5.0
73,2021,대학교,사립,서울,기존,덕성여자대학교 ,1040.0,1043.0,15202.0,0.0,1042.0,99.9,14.6
74,2021,대학교,사립,서울,기존,동국대학교 ,2685.0,2708.0,46329.0,1343.0,1363.0,99.9,17.1
75,2021,대학교,사립,경북,기존,동국대학교(경주) _분교,1754.0,1762.0,9741.0,947.0,697.0,93.3,5.5
76,2021,대학교,사립,서울,기존,동덕여자대학교 ,1507.0,1513.0,18735.0,0.0,1511.0,99.9,12.4
77,2021,대학교,사립,부산,기존,동명대학교 ,1818.0,1819.0,9427.0,929.0,690.0,89.0,5.2
78,2021,대학교,사립,부산,기존,동서대학교 ,2311.0,2306.0,12984.0,887.0,975.0,80.7,5.6
79,2021,대학교,사립,전남,기존,동신대학교 ,1548.0,1550.0,7480.0,824.0,606.0,92.3,4.8
80,2021,대학교,사립,부산,기존,동아대학교 ,4058.0,4070.0,26540.0,1940.0,2100.0,99.3,6.5
81,2021,대학교,사립,경북,기존,동양대학교 ,960.0,960.0,4325.0,485.0,293.0,81.0,4.5
82,2021,대학교,사립,부산,기존,동의대학교 ,3595.0,3595.0,20016.0,1919.0,1476.0,94.4,5.6
83,2021,사이버대학(대학),사립,서울,기존,디지털서울문화예술대학교 ,990.0,990.0,1926.0,262.0,365.0,63.3,1.9
84,2021,대학교,사립,경기,기존,루터대학교 ,85.0,85.0,223.0,40.0,45.0,100.0,2.6
85,2021,대학교,사립,경기,기존,명지대학교 ,1397.0,1401.0,14399.0,870.0,531.0,100.0,10.3
86,2021,대학교,사립,서울,기존,명지대학교 _제2캠퍼스,1263.0,1269.0,12445.0,565.0,700.0,99.7,9.8
