,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
0,2020,대학교,사립,경북,기존,가야대학교(고령) _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020,산업대학,사립,경북,폐교,경운대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020,교육대학,국립,인천,기존,경인교육대학교 ,2392.0,0.0,1289.0,1170.0,119.0,53.9,48.9
3,2020,교육대학,국립,경기,기존,경인교육대학교 _제2캠퍼스,0.0,0.0,1378.0,1253.0,125.0,0.0,0.0
4,2020,대학교,사립,경북,기존,경주대학교 ,3048.0,78.0,1013.0,725.0,288.0,34.1,24.4
5,2020,대학교,사립,전남,기존,광주가톨릭대학교 ,160.0,0.0,89.0,89.0,0.0,55.6,55.6
6,2020,사이버대학(대학),사립,충남,기존,글로벌사이버대학교 ,3180.0,0.0,2454.0,2426.0,28.0,77.2,76.3
7,2020,대학교,사립,충남,기존,금강대학교 ,510.0,0.0,393.0,383.0,10.0,77.1,75.1
8,2020,산업대학,사립,충남,폐교,남서울대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020,대학교,사립,경북,기존,대구예술대학교 ,1753.0,0.0,948.0,934.0,14.0,54.1,53.3
10,2020,대학교,사립,세종,기존,대전가톨릭대학교 ,160.0,0.0,44.0,44.0,0.0,27.5,27.5
11,2020,대학교,사립,대전,기존,대전신학대학교 ,212.0,0.0,85.0,84.0,1.0,40.1,39.6
12,2020,사이버대학(대학),사립,부산,기존,부산디지털대학교 ,2765.0,0.0,2366.0,2228.0,138.0,85.6,80.6
13,2020,대학교,사립,경기,기존,수원가톨릭대학교 ,360.0,0.0,121.0,118.0,3.0,33.6,32.8
14,2020,각종학교(대학),사립,충북,기존,순복음총회신학교 ,324.0,0.0,185.0,183.0,2.0,57.1,56.5
15,2020,대학교,사립,경기,기존,신경대학교 ,1016.0,13.0,569.0,544.0,25.0,56.7,54.2
16,2020,대학교,사립,경기,기존,아신대학교 ,744.0,0.0,617.0,601.0,16.0,82.9,80.8
17,2020,대학교,사립,인천,기존,안양대학교 _제2캠퍼스,488.0,0.0,326.0,325.0,1.0,66.8,66.6
18,2020,대학교,사립,전남,기존,영산선학대학교 ,200.0,0.0,29.0,27.0,2.0,14.5,13.5
19,2020,산업대학,사립,대전,폐교,우송대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020,대학교,사립,부산,기존,인제대학교 _제2캠퍼스,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020,대학교,사립,인천,기존,인천가톨릭대학교 ,80.0,0.0,61.0,61.0,0.0,76.3,76.3
22,2020,기술대학,사립,서울,기존,정석대학 ,200.0,0.0,58.0,58.0,0.0,29.0,29.0
23,2020,대학교,사립,제주,기존,제주국제대학교 ,2469.0,0.0,928.0,900.0,28.0,37.6,36.5
24,2020,대학교,사립,경기,기존,중앙승가대학교 ,480.0,0.0,147.0,139.0,8.0,30.6,29.0
25,2020,산업대학,국립,경남,폐교,진주산업대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020,대학교,사립,경남,기존,한국국제대학교 ,2719.0,2.0,1613.0,1506.0,107.0,59.4,55.4
27,2020,방송통신대학,국립,서울,기존,한국방송통신대학교 ,227650.0,0.0,103314.0,93035.0,10279.0,45.4,40.9
28,2020,산업대학,사립,경기,폐교,한국산업기술대학교(산업대) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020,대학교,사립,전남,기존,한려대학교 ,1205.0,0.0,373.0,338.0,35.0,31.0,28.0
30,2020,대학교,사립,경기,폐교,한북대학교 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
