,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
53,통증클리닉,지천제통마취통증의학과의원,경북 칠곡군 지천면 신동로 167,8620,128.4907217290439,35.956027160587034
54,소아청소년과,경북대학교 어린이병원,대구 북구 호국로 807,9645,128.563287283852,35.9570600559537
55,가정의학과,푸른가정의학과의원,경북 구미시 인동36길 23-11,9583,128.433236678099,36.0923666095201
56,치과,가이드치과병원,경북 구미시 인동36길 17,9683,128.43238219115966,36.092940937474474
57,치과,나래원치과의원,경북 칠곡군 석적읍 유학로 60,9792,128.415683053527,36.0767017974675
58,이비인후과,편한이비인후과의원,경북 구미시 인동36길 6,9768,128.432405895857,36.0940634655016
59,치과,덴타피아치과 구미점,경북 구미시 인동36길 5,9734,128.432866570977,36.0939966798553
60,소아청소년과,이은영와세다의원,경북 구미시 인동31길 9-2,9976,128.431287043676,36.0957961982472
0,기차역,신동역,경북 칠곡군 지천면 신동로7길 37,8743,128.486004882203,35.9557495405605
1,기차역,연화역,경북 칠곡군 지천면 칠곡대로 2054-5,9304,128.447806598449,35.9649937109063
2,기차역,신동화물역,경북 칠곡군 지천면 금호로 272,9676,128.450690138788,35.9592564094416
