"행정구역","2022년01월_거주자_총인구수","2022년01월_거주자_연령구간인구수","2022년01월_거주자_0~9세","2022년01월_거주자_10~19세","2022년01월_거주자_20~29세","2022년01월_거주자_30~39세","2022년01월_거주자_40~49세","2022년01월_거주자_50~59세","2022년01월_거주자_60~69세","2022년01월_거주자_70~79세","2022년01월_거주자_80~89세","2022년01월_거주자_90~99세","2022년01월_거주자_100세 이상","2022년01월_남_거주자_총인구수","2022년01월_남_거주자_연령구간인구수","2022년01월_남_거주자_0~9세","2022년01월_남_거주자_10~19세","2022년01월_남_거주자_20~29세","2022년01월_남_거주자_30~39세","2022년01월_남_거주자_40~49세","2022년01월_남_거주자_50~59세","2022년01월_남_거주자_60~69세","2022년01월_남_거주자_70~79세","2022년01월_남_거주자_80~89세","2022년01월_남_거주자_90~99세","2022년01월_남_거주자_100세 이상","2022년01월_여_거주자_총인구수","2022년01월_여_거주자_연령구간인구수","2022년01월_여_거주자_0~9세","2022년01월_여_거주자_10~19세","2022년01월_여_거주자_20~29세","2022년01월_여_거주자_30~39세","2022년01월_여_거주자_40~49세","2022년01월_여_거주자_50~59세","2022년01월_여_거주자_60~69세","2022년01월_여_거주자_70~79세","2022년01월_여_거주자_80~89세","2022년01월_여_거주자_90~99세","2022년01월_여_거주자_100세 이상"
"강원도 태백시 (4219000000)","40,391","40,391","2,280","3,630","3,428","3,233","6,023","6,928","7,764","4,710","2,167","225","3","20,397","20,397","1,207","1,869","1,982","1,709","3,207","3,747","3,829","2,045","766","36","0","19,994","19,994","1,073","1,761","1,446","1,524","2,816","3,181","3,935","2,665","1,401","189","3"
"강원도 태백시 황지동(4219051500)","6,034","6,034","422","558","555","537","870","1,030","1,134","626","265","36","1","2,987","2,987","220","287","329","276","460","515","532","268","92","8","0","3,047","3,047","202","271","226","261","410","515","602","358","173","28","1"
"강원도 태백시 황연동(4219052500)","4,226","4,226","158","296","321","250","567","735","1,028","607","238","26","0","2,147","2,147","76","159","198","138","317","403","516","250","87","3","0","2,079","2,079","82","137","123","112","250","332","512","357","151","23","0"
"강원도 태백시 삼수동(4219053500)","5,584","5,584","334","507","374","449","857","903","1,058","735","341","25","1","2,858","2,858","193","259","236","229","483","529","493","316","117","3","0","2,726","2,726","141","248","138","220","374","374","565","419","224","22","1"
"강원도 태백시 상장동(4219054000)","13,055","13,055","1,009","1,533","1,357","1,275","2,495","2,193","1,788","957","399","48","1","6,588","6,588","532","783","756","659","1,258","1,165","865","428","137","5","0","6,467","6,467","477","750","601","616","1,237","1,028","923","529","262","43","1"
"강원도 태백시 문곡소도동(4219058500)","3,751","3,751","141","257","272","259","463","697","912","501","222","27","0","1,885","1,885","70","120","144","136","256","372","466","224","93","4","0","1,866","1,866","71","137","128","123","207","325","446","277","129","23","0"
"강원도 태백시 장성동(4219059500)","3,301","3,301","119","208","286","223","343","669","726","451","251","25","0","1,626","1,626","58","97","155","133","186","354","374","190","76","3","0","1,675","1,675","61","111","131","90","157","315","352","261","175","22","0"
"강원도 태백시 구문소동(4219060500)","2,475","2,475","60","191","135","125","249","375","620","466","234","20","0","1,278","1,278","38","124","79","64","144","217","327","202","79","4","0","1,197","1,197","22","67","56","61","105","158","293","264","155","16","0"
"강원도 태백시 철암동(4219061500)","1,965","1,965","37","80","128","115","179","326","498","367","217","18","0","1,028","1,028","20","40","85","74","103","192","256","167","85","6","0","937","937","17","40","43","41","76","134","242","200","132","12","0"
