"행정구역","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상"
"대전광역시  (3000000000)","1,445,245","1,445,245","107,507","142,018","208,815","188,701","229,400","238,082","189,348","92,046","43,072","6,094","162"
"대전광역시 동구 (3011000000)","220,978","220,978","14,150","19,450","29,993","25,094","33,160","35,920","34,067","19,093","8,857","1,163","31"
"대전광역시 중구 (3014000000)","228,925","228,925","13,876","20,909","29,959","24,807","34,890","38,468","34,541","20,428","9,705","1,307","35"
"대전광역시 서구 (3017000000)","471,114","471,114","35,848","48,109","72,601","64,372","75,727","76,217","58,036","26,395","12,011","1,750","48"
"대전광역시 유성구 (3020000000)","350,077","350,077","33,116","37,777","52,222","54,610","59,668","54,418","36,499","13,814","6,796","1,133","24"
"대전광역시 대덕구 (3023000000)","174,151","174,151","10,517","15,773","24,040","19,818","25,955","33,059","26,205","12,316","5,703","741","24"
