"강진군",31.8,11,34597
"해남군",18.9,13,68806
"영암군",24.2,13,53699
"무안군",10.4,9,86132
"함평군",15.6,5,32050
"영광군",11.3,6,53099
"장성군",18.0,8,44464
"완도군",14.0,7,49916
"진도군",32.0,10,31227
"신안군",28.3,11,38938
"경상북도",8.3,220,2639422
"포항시",4.4,22,502916
"경주시",8.3,21,253502
"김천시",7.1,10,140548
"안동시",10.7,17,158907
"구미시",3.1,13,416328
"영주시",9.7,10,103119
"영천시",8.8,9,102015
"상주시",11.3,11,97228
"문경시",19.6,14,71406
"경산시",5.7,15,263728
"군위군",25.8,6,23256
"의성군",13.5,7,51724
"청송군",28.0,7,25044
"영양군",30.0,5,16692
"영덕군",13.8,5,36313
"청도군",11.8,5,42263
"고령군",19.1,6,31361
"성주군",13.8,6,43414
"칠곡군",7.8,9,114758
"예천군",12.6,7,55613
"봉화군",12.7,4,31494
"울진군",14.4,7,48716
"울릉군",44.1,4,9077
"경상남도",6.8,228,3340216
"진주시",6.0,21,348096
"통영시",10.9,14,128293
"사천시",7.2,8,111105
"김해시",6.3,34,542338
"밀양시",13.4,14,104831
"거제시",6.1,15,245754
"양산시",4.0,14,352229
"창원시",3.9,40,1036738
"의령군",14.9,4,26800
"함안군",7.8,5,64182
"창녕군",13.1,8,61301
"고성군",19.5,10,51361
"남해군",14.0,6,42958
"하동군",15.6,7,44785
"산청군",34.4,12,34857
"함양군",10.2,4,39080
"거창군",9.8,6,61502
"합천군",13.6,6,44006
"제주특별자치도",20.0,135,674635
"제주시",14.4,71,492466
"서귀포시",35.1,64,182169
