소재지(시군구)별,문화시설별,항목,단위,2020 년
동대문구,국제회의시설,면적,㎡,
동대문구,공공도서관,시설수,개,1
동대문구,공공도서관,면적,㎡,1771
동대문구,전문도서관,시설수,개,
동대문구,전문도서관,면적,㎡,
성북구,계,시설수,개,6
성북구,계,면적,㎡,25877
성북구,공연장,시설수,개,
성북구,공연장,면적,㎡,
성북구,박물관,시설수,개,
성북구,박물관,면적,㎡,
성북구,미술관,시설수,개,
성북구,미술관,면적,㎡,
성북구,과학관,시설수,개,
성북구,과학관,면적,㎡,
성북구,문화산업단지,시설수,개,
성북구,문화산업단지,면적,㎡,
성북구,문화산업진흥시설,시설수,개,
성북구,문화산업진흥시설,면적,㎡,
성북구,지방문화원,시설수,개,
성북구,지방문화원,면적,㎡,
성북구,문화예술진흥시설,시설수,개,4
성북구,문화예술진흥시설,면적,㎡,21865
성북구,전시시설,시설수,개,
성북구,전시시설,면적,㎡,
성북구,국제회의시설,시설수,개,
성북구,국제회의시설,면적,㎡,
성북구,공공도서관,시설수,개,2
성북구,공공도서관,면적,㎡,4012
성북구,전문도서관,시설수,개,
성북구,전문도서관,면적,㎡,
강북구,계,시설수,개,4
강북구,계,면적,㎡,7295
강북구,공연장,시설수,개,
강북구,공연장,면적,㎡,
강북구,박물관,시설수,개,
강북구,박물관,면적,㎡,
강북구,미술관,시설수,개,
강북구,미술관,면적,㎡,
강북구,과학관,시설수,개,
강북구,과학관,면적,㎡,
강북구,문화산업단지,시설수,개,
강북구,문화산업단지,면적,㎡,
강북구,문화산업진흥시설,시설수,개,
강북구,문화산업진흥시설,면적,㎡,
강북구,지방문화원,시설수,개,
강북구,지방문화원,면적,㎡,
강북구,문화예술진흥시설,시설수,개,2
강북구,문화예술진흥시설,면적,㎡,4805
강북구,전시시설,시설수,개,
강북구,전시시설,면적,㎡,
강북구,국제회의시설,시설수,개,
강북구,국제회의시설,면적,㎡,
강북구,공공도서관,시설수,개,2
강북구,공공도서관,면적,㎡,2490
강북구,전문도서관,시설수,개,
강북구,전문도서관,면적,㎡,
도봉구,계,시설수,개,5
도봉구,계,면적,㎡,16396
도봉구,공연장,시설수,개,
도봉구,공연장,면적,㎡,
도봉구,박물관,시설수,개,
도봉구,박물관,면적,㎡,
도봉구,미술관,시설수,개,
도봉구,미술관,면적,㎡,
도봉구,과학관,시설수,개,
도봉구,과학관,면적,㎡,
도봉구,문화산업단지,시설수,개,
도봉구,문화산업단지,면적,㎡,
도봉구,문화산업진흥시설,시설수,개,
도봉구,문화산업진흥시설,면적,㎡,
도봉구,지방문화원,시설수,개,
도봉구,지방문화원,면적,㎡,
도봉구,문화예술진흥시설,시설수,개,3
도봉구,문화예술진흥시설,면적,㎡,14027
도봉구,전시시설,시설수,개,
도봉구,전시시설,면적,㎡,
도봉구,국제회의시설,시설수,개,
도봉구,국제회의시설,면적,㎡,
도봉구,공공도서관,시설수,개,2
도봉구,공공도서관,면적,㎡,2369
도봉구,전문도서관,시설수,개,
도봉구,전문도서관,면적,㎡,
마포구,계,시설수,개,4
마포구,계,면적,㎡,101016
마포구,공연장,시설수,개,
마포구,공연장,면적,㎡,
마포구,박물관,시설수,개,
마포구,박물관,면적,㎡,
마포구,미술관,시설수,개,
마포구,미술관,면적,㎡,
마포구,과학관,시설수,개,
마포구,과학관,면적,㎡,
마포구,문화산업단지,시설수,개,
마포구,문화산업단지,면적,㎡,
마포구,문화산업진흥시설,시설수,개,2
마포구,문화산업진흥시설,면적,㎡,88150
마포구,지방문화원,시설수,개,
마포구,지방문화원,면적,㎡,
마포구,문화예술진흥시설,시설수,개,1
마포구,문화예술진흥시설,면적,㎡,8466
마포구,전시시설,시설수,개,
마포구,전시시설,면적,㎡,
마포구,국제회의시설,시설수,개,
마포구,국제회의시설,면적,㎡,
마포구,공공도서관,시설수,개,1
마포구,공공도서관,면적,㎡,4400
마포구,전문도서관,시설수,개,
마포구,전문도서관,면적,㎡,
양천구,계,시설수,개,2
양천구,계,면적,㎡,4346
양천구,공연장,시설수,개,
양천구,공연장,면적,㎡,
양천구,박물관,시설수,개,
양천구,박물관,면적,㎡,
양천구,미술관,시설수,개,
양천구,미술관,면적,㎡,
양천구,과학관,시설수,개,
양천구,과학관,면적,㎡,
양천구,문화산업단지,시설수,개,
양천구,문화산업단지,면적,㎡,
양천구,문화산업진흥시설,시설수,개,
양천구,문화산업진흥시설,면적,㎡,
양천구,지방문화원,시설수,개,
양천구,지방문화원,면적,㎡,
양천구,문화예술진흥시설,시설수,개,2
양천구,문화예술진흥시설,면적,㎡,4346
양천구,전시시설,시설수,개,
양천구,전시시설,면적,㎡,
양천구,국제회의시설,시설수,개,
양천구,국제회의시설,면적,㎡,
양천구,공공도서관,시설수,개,
양천구,공공도서관,면적,㎡,
양천구,전문도서관,시설수,개,
양천구,전문도서관,면적,㎡,
강서구,계,시설수,개,8
강서구,계,면적,㎡,35617
강서구,공연장,시설수,개,
강서구,공연장,면적,㎡,
강서구,박물관,시설수,개,
강서구,박물관,면적,㎡,
강서구,미술관,시설수,개,
강서구,미술관,면적,㎡,
강서구,과학관,시설수,개,
강서구,과학관,면적,㎡,
강서구,문화산업단지,시설수,개,1
강서구,문화산업단지,면적,㎡,4065
강서구,문화산업진흥시설,시설수,개,
강서구,문화산업진흥시설,면적,㎡,
강서구,지방문화원,시설수,개,
강서구,지방문화원,면적,㎡,
강서구,문화예술진흥시설,시설수,개,4
강서구,문화예술진흥시설,면적,㎡,26246
강서구,전시시설,시설수,개,
강서구,전시시설,면적,㎡,
강서구,국제회의시설,시설수,개,
강서구,국제회의시설,면적,㎡,
강서구,공공도서관,시설수,개,3
강서구,공공도서관,면적,㎡,5306
강서구,전문도서관,시설수,개,
강서구,전문도서관,면적,㎡,
영등포구,계,시설수,개,5
영등포구,계,면적,㎡,6432
영등포구,공연장,시설수,개,
영등포구,공연장,면적,㎡,
영등포구,박물관,시설수,개,
영등포구,박물관,면적,㎡,
영등포구,미술관,시설수,개,
영등포구,미술관,면적,㎡,
영등포구,과학관,시설수,개,
영등포구,과학관,면적,㎡,
영등포구,문화산업단지,시설수,개,
영등포구,문화산업단지,면적,㎡,
영등포구,문화산업진흥시설,시설수,개,
영등포구,문화산업진흥시설,면적,㎡,
영등포구,지방문화원,시설수,개,
영등포구,지방문화원,면적,㎡,
영등포구,문화예술진흥시설,시설수,개,4
영등포구,문화예술진흥시설,면적,㎡,4132
영등포구,전시시설,시설수,개,
영등포구,전시시설,면적,㎡,
영등포구,국제회의시설,시설수,개,
영등포구,국제회의시설,면적,㎡,
영등포구,공공도서관,시설수,개,1
영등포구,공공도서관,면적,㎡,2300
영등포구,전문도서관,시설수,개,
영등포구,전문도서관,면적,㎡,
서초구,계,시설수,개,8
서초구,계,면적,㎡,223435
서초구,공연장,시설수,개,
서초구,공연장,면적,㎡,
서초구,박물관,시설수,개,
서초구,박물관,면적,㎡,
서초구,미술관,시설수,개,
서초구,미술관,면적,㎡,
서초구,과학관,시설수,개,
서초구,과학관,면적,㎡,
서초구,문화산업단지,시설수,개,
서초구,문화산업단지,면적,㎡,
서초구,문화산업진흥시설,시설수,개,
서초구,문화산업진흥시설,면적,㎡,
서초구,지방문화원,시설수,개,
서초구,지방문화원,면적,㎡,
서초구,문화예술진흥시설,시설수,개,4
서초구,문화예술진흥시설,면적,㎡,211662
서초구,전시시설,시설수,개,
서초구,전시시설,면적,㎡,
서초구,국제회의시설,시설수,개,
서초구,국제회의시설,면적,㎡,
서초구,공공도서관,시설수,개,4
